"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
3.926625080E-1;1.627987176E-1;2.896859646E0;9.435143471E0;9.871181872E0
3.950176120E-1;-2.202570885E-1;2.583232641E0;8.994628906E0;9.360820115E0
3.973733930E-1;-6.464066505E-1;2.123565674E0;8.420045853E0;8.707729032E0
3.997288620E-1;-7.397765517E-1;1.699810147E0;7.792791367E0;8.010257247E0
4.020851120E-1;-7.852643728E-1;1.558558345E0;7.565351963E0;7.764038548E0
4.044408930E-1;-1.043827057E0;1.637563586E0;7.799973965E0;8.038083308E0
4.067967260E-1;-1.125226378E0;1.706992388E0;8.166271210E0;8.418309978E0
4.091524560E-1;-9.073634148E-1;1.809938669E0;8.733672142E0;8.965278325E0
4.115078200E-1;-5.267017484E-1;1.934431791E0;9.645824432E0;9.851972902E0
4.138631850E-1;-1.675869226E-1;2.135536194E0;1.070640945E1;1.091859898E1
4.162191740E-1;1.125226468E-1;2.274393797E0;1.162334919E1;1.184431403E1
4.185752160E-1;5.123371482E-1;2.346216917E0;1.214765739E1;1.238276235E1
4.209311010E-1;8.379345536E-1;2.482680559E0;1.233439732E1;1.260964687E1
4.232867260E-1;7.828702927E-1;2.667026043E0;1.218596268E1;1.249894396E1
4.256421430E-1;3.926321864E-1;2.834612846E0;1.152279758E1;1.187282840E1
4.279977680E-1;1.005521491E-1;3.028534889E0;1.056755161E1;1.099341991E1
4.303534970E-1;-3.064446449E-1;3.330191374E0;9.633853912E0;1.019780487E1
4.327087580E-1;-9.336985350E-1;3.550448418E0;8.690578461E0;9.434173568E0
4.350636530E-1;-1.106073618E0;3.339767694E0;7.412129879E0;8.204700875E0
4.374182890E-1;-8.738460541E-1;2.872918606E0;6.181562901E0;6.872334984E0
4.397737060E-1;-7.469588518E-1;2.509015560E0;5.685984612E0;6.259674721E0
4.421294870E-1;-6.703476906E-1;2.339034557E0;5.800901413E0;6.290540985E0
4.444849560E-1;-6.009187698E-1;2.226511955E0;6.313238621E0;6.721267792E0
4.468406850E-1;-3.878439963E-1;2.197782755E0;7.179902077E0;7.518754274E0
4.491963100E-1;-2.657449543E-1;2.118777514E0;8.163876534E0;8.438525854E0
4.515517260E-1;-4.405141771E-1;2.003860712E0;9.420778275E0;9.641606391E0
4.539076640E-1;-7.014709711E-1;1.867397070E0;1.073035049E1;1.091419512E1
4.562636530E-1;-8.570873737E-1;1.836273789E0;1.196091747E1;1.213136625E1
4.586197470E-1;-7.110473514E-1;1.819515109E0;1.269111729E1;1.284058727E1
4.609759450E-1;-2.920800447E-1;1.726145267E0;1.270787621E1;1.282789951E1
4.633318830E-1;2.489862740E-1;1.651928186E0;1.213808060E1;1.225250429E1
4.656877680E-1;6.272538900E-1;1.711780667E0;1.141985130E1;1.156445607E1
4.680440700E-1;7.685056925E-1;1.960766912E0;1.066092205E1;1.086694377E1
4.703995390E-1;7.493529320E-1;2.224117756E0;9.909174919E0;1.018331857E1
4.727553720E-1;6.488007903E-1;2.523380041E0;9.274738312E0;9.633751089E0
4.751114140E-1;1.771633029E-1;2.676602364E0;8.757613182E0;9.159223531E0
4.774672990E-1;-4.572728574E-1;2.707725763E0;8.491868019E0;8.924836118E0
4.798229760E-1;-8.115994930E-1;2.741243124E0;8.530174255E0;8.996498231E0
4.821788100E-1;-9.097575545E-1;2.832218885E0;8.951535225E0;9.432873661E0
4.845333410E-1;-8.642696738E-1;2.999805689E0;9.339379311E0;9.847324619E0
4.868883410E-1;-6.296479702E-1;3.016564369E0;9.394443512E0;9.886945234E0
4.892432890E-1;-2.465921789E-1;3.117116690E0;9.420778275E0;9.926141620E0
4.915988100E-1;-2.154688910E-2;3.162604570E0;9.456689835E0;9.971535216E0
4.939543310E-1;-3.112328425E-2;3.114722490E0;9.480630875E0;9.979219741E0
4.963096950E-1;-8.618755639E-2;2.789125204E0;9.169398308E0;9.584597698E0
4.986658410E-1;-3.375679255E-1;2.379734278E0;8.752824783E0;9.076840256E0
5.010221430E-1;-6.200715899E-1;1.991890192E0;8.396104813E0;8.651398230E0
5.033778720E-1;-8.379345536E-1;1.675869107E0;8.034595490E0;8.250175529E0
5.057338620E-1;-1.022280216E0;1.551375985E0;7.977137089E0;8.190637364E0
5.080900600E-1;-1.086920857E0;1.551375985E0;8.185423851E0;8.401745534E0
5.104463100E-1;-9.217280149E-1;1.683051467E0;8.630725861E0;8.841474631E0
