"Time (s)";"Acceleration x (m/s²)";"Acceleration y (m/s²)";"Acceleration z (m/s²)"
7,850820618E1;-4,548787773E-1;1,716568828E0;9,657794952E0
7,851056628E1;-4,596669674E-1;1,683051467E0;9,629065514E0
7,851292717E1;-4,668492675E-1;1,709386587E0;9,621883392E0
7,851528774E1;-4,883961678E-1;1,711780667E0;9,571606636E0
7,851764821E1;-5,314899087E-1;1,718962908E0;9,528512955E0
7,852000904E1;-5,338840485E-1;1,733327508E0;9,506966591E0
7,852236982E1;-5,769777894E-1;1,706992388E0;9,511754036E0
7,852473081E1;-5,626131892E-1;1,750086188E0;9,530907631E0
7,852709092E1;-5,674014091E-1;1,762056708E0;9,535695076E0
7,852945123E1;-5,650073290E-1;1,728539348E0;9,542878151E0
7,853181139E1;-5,650073290E-1;1,716568828E0;9,578789711E0
7,853417206E1;-5,578250289E-1;1,711780667E0;9,559636116E0
7,853653232E1;-5,650073290E-1;1,697416067E0;9,569212914E0
7,853889300E1;-5,769777894E-1;1,683051467E0;9,602729797E0
7,854125352E1;-5,961306095E-1;1,678263307E0;9,600336075E0
7,854361415E1;-5,602191091E-1;1,685445547E0;9,631459236E0
7,854597378E1;-5,578250289E-1;1,695021987E0;9,612306595E0
7,854833352E1;-4,955784380E-1;1,680657387E0;9,650611877E0
7,855069305E1;-4,716374576E-1;1,680657387E0;9,655400276E0
7,855305274E1;-4,309377670E-1;1,683051467E0;9,660188675E0
7,855541269E1;-4,093908966E-1;1,671080947E0;9,679341316E0
7,855777279E1;-4,141790867E-1;1,647140026E0;9,684129715E0
7,856013279E1;-3,543266058E-1;1,647140026E0;9,667370796E0
7,856249331E1;-3,399620354E-1;1,642351747E0;9,669765472E0
7,856485368E1;-3,686912060E-1;1,635169506E0;9,655400276E0
7,856721436E1;-3,279915452E-1;1,663898706E0;9,662582397E0
7,856957456E1;-3,495384157E-1;1,644745827E0;9,648218155E0
7,857193477E1;-3,375679255E-1;1,604046226E0;9,612306595E0
7,857429493E1;-3,471443355E-1;1,630381227E0;9,621883392E0
7,857665545E1;-3,447502255E-1;1,678263307E0;9,597942352E0
7,857901592E1;-3,495384157E-1;1,678263307E0;9,578789711E0
7,858137602E1;-3,447502255E-1;1,692627788E0;9,566819191E0
