"Time (s)";"Acceleration x (m/s²)";"Acceleration y (m/s²)";"Acceleration z (m/s²)"
2.126111663E3;3.109934330E0;3.811405182E0;8.369769096E0
2.126114024E3;3.040505409E0;3.761129141E0;8.281188011E0
2.126116385E3;3.093175650E0;3.775493860E0;8.362586975E0
2.126118746E3;3.076416969E0;3.725217819E0;8.403286934E0
2.126121106E3;3.126693010E0;3.686912060E0;8.506233215E0
2.126123467E3;3.038111448E0;3.627059698E0;8.633120537E0
2.126125827E3;2.904041767E0;3.545660257E0;8.728883743E0
2.126128188E3;2.750819445E0;3.564813137E0;8.889288902E0
2.126130548E3;2.719696283E0;3.478625536E0;8.906047821E0
2.126132908E3;2.676602364E0;3.548054457E0;8.977869987E0
2.126135269E3;2.731666803E0;3.469049215E0;8.862954140E0
2.126137629E3;2.760396004E0;3.586359978E0;8.867741585E0
2.126139990E3;2.769972324E0;3.507354736E0;8.661849022E0
2.126142351E3;2.817854166E0;3.622271538E0;8.566085815E0
2.126144712E3;2.798701525E0;3.564813137E0;8.472715378E0
2.126147073E3;2.793913364E0;3.643818378E0;8.422439575E0
2.126149433E3;2.724484444E0;3.658182859E0;8.408075333E0
2.126151794E3;2.686178923E0;3.627059698E0;8.384134293E0
2.126154155E3;2.664631844E0;3.610301018E0;8.420045853E0
2.126156515E3;2.650267363E0;3.615089178E0;8.549326897E0
2.126158876E3;2.707725763E0;3.612694979E0;8.716913223E0
2.126161236E3;2.791519165E0;3.586359978E0;8.793524742E0
2.126163597E3;2.887283087E0;3.624665499E0;8.915623665E0
2.126165958E3;2.930377007E0;3.555236816E0;8.910835266E0
2.126168318E3;2.837007046E0;3.646212339E0;8.896471024E0
2.126170679E3;2.635902882E0;3.576783657E0;8.673819542E0
2.126173039E3;2.482680559E0;3.643818378E0;8.568479538E0
2.126175399E3;2.374946117E0;3.651000738E0;8.412862778E0
2.126177759E3;2.408463478E0;3.725217819E0;8.333857536E0
2.126180120E3;2.446768999E0;3.655788898E0;8.197394371E0
2.126182481E3;2.523380041E0;3.715641260E0;8.250064850E0
2.126184842E3;2.628720522E0;3.624665499E0;8.259640694E0
2.126187202E3;2.659843683E0;3.727611780E0;8.530174255E0
2.126189563E3;2.729272604E0;3.665365219E0;8.664243698E0
2.126191923E3;2.911224127E0;3.605512857E0;8.771978378E0
2.126194284E3;2.805883884E0;3.627059698E0;8.963505745E0
2.126196645E3;2.750819445E0;3.562418938E0;8.977869987E0
2.126199006E3;2.662237883E0;3.543266296E0;9.035328865E0
2.126201366E3;2.422827959E0;3.483413696E0;8.987446785E0
2.126203727E3;2.408463478E0;3.583965778E0;8.999417305E0
2.126206087E3;2.384522438E0;3.409196615E0;8.738460541E0
2.126208448E3;2.367763758E0;3.583965778E0;8.692973137E0
2.126210808E3;2.226511955E0;3.603118658E0;8.637907982E0
2.126213169E3;2.456345320E0;3.447502136E0;8.364980698E0
