"Time (s)";"Acceleration x (m/s²)";"Acceleration y (m/s²)";"Acceleration z (m/s²)"
4.807567024E2;1.635169506E0;4.223190308E0;8.661849022E0
4.807590634E2;1.611228466E0;4.232766628E0;8.645091057E0
4.807614245E2;1.639957666E0;4.235160828E0;8.657061577E0
4.807637855E2;1.635169506E0;4.254313469E0;8.661849022E0
4.807661459E2;1.623198986E0;4.237555027E0;8.659455299E0
4.807685063E2;1.647140026E0;4.247131348E0;8.657061577E0
4.807708663E2;1.651928186E0;4.220796108E0;8.661849022E0
4.807732271E2;1.627987146E0;4.235160828E0;8.666637421E0
4.807755877E2;1.611228466E0;4.208825588E0;8.623543739E0
4.807779486E2;1.647140026E0;4.254313469E0;8.640302658E0
4.807803090E2;1.616016626E0;4.247131348E0;8.666637421E0
4.807826693E2;1.620804906E0;4.244737148E0;8.642696381E0
4.807850297E2;1.623198986E0;4.220796108E0;8.664243698E0
4.807873904E2;1.632775426E0;4.235160828E0;8.657061577E0
4.807897507E2;1.623198986E0;4.208825588E0;8.625937462E0
4.807921110E2;1.637563586E0;4.218401909E0;8.633120537E0
4.807944712E2;1.623198986E0;4.242342949E0;8.647484779E0
4.807968325E2;1.616016626E0;4.220796108E0;8.649878502E0
4.807991933E2;1.635169506E0;4.247131348E0;8.642696381E0
4.808015536E2;1.642351747E0;4.232766628E0;8.664243698E0
4.808039139E2;1.642351747E0;4.227978230E0;8.657061577E0
4.808062744E2;1.637563586E0;4.242342949E0;8.666637421E0
4.808086345E2;1.651928186E0;4.232766628E0;8.664243698E0
4.808109951E2;1.642351747E0;4.225584507E0;8.669032097E0
4.808133560E2;1.651928186E0;4.261496067E0;8.633120537E0
4.808157170E2;1.620804906E0;4.249525547E0;8.635514259E0
4.808180776E2;1.616016626E0;4.244737148E0;8.657061577E0
4.808204384E2;1.627987146E0;4.235160828E0;8.640302658E0
4.808227989E2;1.635169506E0;4.237555027E0;8.659455299E0
4.808251593E2;1.642351747E0;4.239948750E0;8.657061577E0
4.808275196E2;1.620804906E0;4.216008186E0;8.649878502E0
4.808298807E2;1.632775426E0;4.220796108E0;8.671425819E0
4.808322413E2;1.606440306E0;4.227978230E0;8.659455299E0
4.808346013E2;1.608834386E0;4.232766628E0;8.647484779E0
4.808369616E2;1.623198986E0;4.213613987E0;8.671425819E0
4.808393223E2;1.639957666E0;4.235160828E0;8.628332138E0
4.808416830E2;1.644745827E0;4.211219788E0;8.642696381E0
4.808440436E2;1.630381227E0;4.249525547E0;8.659455299E0
4.808464045E2;1.649534106E0;4.244737148E0;8.649878502E0
4.808487654E2;1.613622546E0;4.237555027E0;8.649878502E0
4.808511260E2;1.635169506E0;4.254313469E0;8.664243698E0
4.808534863E2;1.639957666E0;4.201643467E0;8.642696381E0
4.808558466E2;1.637563586E0;4.249525547E0;8.654666901E0
4.808582068E2;1.616016626E0;4.235160828E0;8.647484779E0
4.808605668E2;1.620804906E0;4.227978230E0;8.664243698E0
4.808629276E2;1.611228466E0;4.261496067E0;8.654666901E0
4.808652882E2;1.623198986E0;4.237555027E0;8.652273178E0
4.808676482E2;1.642351747E0;4.201643467E0;8.659455299E0
4.808700083E2;1.632775426E0;4.247131348E0;8.647484779E0
4.808723686E2;1.635169506E0;4.244737148E0;8.642696381E0
4.808747290E2;1.623198986E0;4.230372429E0;8.647484779E0
4.808770897E2;1.599257946E0;4.239948750E0;8.633120537E0
4.808794499E2;1.625593066E0;4.239948750E0;8.645091057E0
