"Time (s)";"Peak-Frequency"
1.500321213E1;1.985376435E1
1.512667119E1;1.985383184E1
1.526087489E1;1.985390478E1
1.540084369E1;1.985396938E1
1.554230817E1;1.985404211E1
1.568344687E1;1.985409495E1
1.582327885E1;1.985418885E1
1.596194473E1;1.985424565E1
1.610183182E1;1.985426650E1
1.624194854E1;1.985430982E1
1.638461676E1;1.985439999E1
1.652368729E1;1.985449144E1
1.666460609E1;1.902730296E1
1.681880078E1;1.902737349E1
1.693637078E1;2.068201706E1
1.708206104E1;1.985482516E1
1.722478546E1;1.985487490E1
1.736452958E1;1.985492774E1
1.751262911E1;2.068230386E1
1.765638520E1;2.068239913E1
1.780163551E1;2.068253261E1
1.794314088E1;1.985534544E1
1.808229187E1;1.985541390E1
1.822642989E1;1.985546001E1
1.837724281E1;1.985552537E1
1.849408999E1;1.985558827E1
1.862038781E1;1.985562624E1
1.876501854E1;1.985568486E1
1.890262525E1;1.985574958E1
1.903439317E1;1.985583077E1
1.917835525E1;1.985590791E1
1.932220145E1;1.985597220E1
1.946168296E1;1.985599188E1
1.960417864E1;1.985595989E1
1.974600952E1;1.985586469E1
1.988699327E1;1.985578670E1
2.004162343E1;1.985571161E1
2.016001723E1;1.985566700E1
2.030102562E1;1.985559180E1
2.044367692E1;1.985553617E1
2.058396291E1;1.985543123E1
2.072408583E1;1.985530801E1
2.086459567E1;1.985523816E1
2.100638838E1;1.985518595E1
2.114720020E1;1.985511193E1
2.128753682E1;1.985503053E1
2.143339135E1;1.985492250E1
2.157566656E1;1.985479746E1
2.169255973E1;1.985466932E1
2.182767645E1;1.985461562E1
2.197628786E1;1.985453615E1
2.212027546E1;1.985445272E1
2.226309405E1;1.902708792E1
2.240442832E1;1.902700038E1
2.254594770E1;1.902692781E1
2.268659171E1;1.985408714E1
2.282772812E1;1.985401238E1
2.298332958E1;1.985392157E1
2.310090135E1;1.985385783E1
2.324150838E1;1.985379077E1
2.338215067E1;1.985374596E1
2.352266202E1;1.985371023E1
2.366284530E1;1.985365130E1
2.380273911E1;1.985357837E1
2.394460812E1;1.985350799E1
2.408459228E1;1.985343570E1
2.423066749E1;1.985335110E1
2.435132463E1;1.985328522E1
2.449807728E1;1.985318127E1
2.463927447E1;1.902589302E1
2.477965640E1;1.902584947E1
2.492205176E1;1.902579658E1
2.506437869E1;1.985295861E1
2.520008530E1;1.985288075E1
2.534092171E1;1.985281167E1
2.548285754E1;1.985272002E1
2.562245718E1;1.985266794E1
2.576612306E1;1.985262057E1
2.590687598E1;1.985257533E1
2.605233114E1;1.985248850E1
2.619487978E1;1.985238979E1
2.633803744E1;1.985232959E1
2.648047358E1;1.985224639E1
2.662338733E1;1.985217506E1
2.676236041E1;1.985211518E1
2.690460525E1;1.985203220E1
2.704664259E1;1.985195692E1
