"Time (s)";"Peak-Frequency"
3,890647952E1;7,942273945E1
3,904418446E1;7,942267270E1
3,918528879E1;7,776795240E1
3,932479530E1;7,776790674E1
3,946434696E1;7,611327370E1
3,960498045E1;7,611339509E1
3,974478134E1;7,611347176E1
3,988578842E1;2,316498939E1
4,002532983E1;2,316496293E1
4,016548030E1;2,316503282E1
4,030511358E1;7,280477600E1
4,044563707E1;7,280497486E1
4,058454847E1;7,280519608E1
4,072707686E1;1,439558799E2
4,085955332E1;7,115062301E1
4,100091988E1;7,115077826E1
4,114108978E1;1,406472904E2
4,128303160E1;1,389929960E2
4,142414608E1;1,389933248E2
4,156578186E1;1,373389324E2
4,170520790E1;2,316562914E1
4,184530728E1;2,151089267E1
4,198402759E1;2,151086404E1
4,212521774E1;2,151079868E1
4,226517592E1;1,323742135E2
4,240539035E1;1,307193069E2
4,255210259E1;2,151070145E1
4,268593493E1;2,151061499E1
4,282644066E1;2,151051104E1
4,296536212E1;1,274081081E2
4,310404998E1;1,257533801E2
4,324630905E1;1,257532839E2
4,338723478E1;1,985571770E1
4,352629077E1;1,985567663E1
4,366445149E1;1,985564956E1
4,377894670E1;1,985566475E1
4,391122868E1;1,207884001E2
4,404800009E1;1,191337331E2
4,418854092E1;1,820097474E1
4,433305925E1;1,174792359E2
4,446387431E1;1,158244359E2
4,460433358E1;1,158243298E2
4,474497665E1;1,141698103E2
4,488498478E1;1,141696356E2
4,502476462E1;1,125149135E2
4,516474024E1;1,820092159E1
4,530502186E1;1,820093101E1
4,544555634E1;1,820094297E1
4,558512404E1;1,820095199E1
4,572588441E1;1,820095071E1
4,586560259E1;1,820098082E1
4,600912212E1;1,654633862E1
4,613826545E1;1,654632400E1
4,626771009E1;2,316483713E1
4,640384769E1;2,481948360E1
4,654631467E1;2,481947878E1
4,668593889E1;2,481944749E1
4,682109634E1;2,481941393E1
4,696097858E1;2,481940992E1
4,710277800E1;2,481939641E1
4,724246384E1;2,481937623E1
