"Time (s)";"Acceleration x (m/s²)";"Acceleration y (m/s²)";"Acceleration z (m/s²)"
8.381338216E1;1.180290699E0;5.448968887E0;6.930915833E0
8.381574211E1;4.093908966E-1;5.326869965E0;6.631653786E0
8.381810195E1;2.530562401E0;4.752285957E0;6.547860146E0
8.382046263E1;1.386183143E0;4.769044876E0;7.428888321E0
8.382282304E1;4.931843579E-1;5.367569447E0;8.896471024E0
8.382518393E1;7.948408127E-1;4.431477070E0;9.109545708E0
8.382754435E1;-5.003666282E-1;4.491329193E0;9.741587639E0
8.382990513E1;-8.068112731E-1;4.414718151E0;1.012703800E1
8.383226581E1;-5.626131892E-1;2.908829927E0;8.645091057E0
8.383462601E1;-9.169398546E-1;6.009188175E0;1.094103146E1
8.383698627E1;-1.101285443E-1;3.193727732E0;8.314704895E0
8.383934659E1;1.316754341E0;4.002933025E0;7.934043407E0
8.384170706E1;6.464067101E-2;5.480092049E0;8.843800545E0
8.384406784E1;1.292813301E0;4.146579266E0;8.034595490E0
8.384642851E1;2.049348593E0;3.761129141E0;8.070507050E0
8.384878846E1;3.591148183E-2;4.740315437E0;9.413596153E0
8.385114935E1;6.248598099E-1;4.929449558E0;1.015097904E1
8.385351044E1;7.373824120E-1;2.877706766E0;9.080816269E0
8.385587112E1;-4.692433476E-1;4.472176552E0;1.057952213E1
8.385823138E1;-7.110473514E-1;4.417112350E0;1.069443893E1
8.386059211E1;-1.795574129E-1;3.093175650E0;9.226857185E0
8.386295320E1;4.788197577E-3;4.326136589E0;9.710464478E0
8.386531393E1;3.351738304E-2;4.795379639E0;9.265162468E0
8.386767466E1;9.935510159E-1;4.697221756E0;8.209364891E0
8.387003544E1;1.003127337E0;4.378806591E0;6.701082706E0
8.387239591E1;3.639030159E-1;5.595008850E0;6.758541107E0
8.387475633E1;1.053403467E-1;5.580644131E0;6.389849663E0
8.387711695E1;1.115650058E0;3.253580332E0;4.235160828E0
8.387947700E1;2.226511836E-1;6.739387989E0;6.892610550E0
8.388183794E1;-1.242537260E0;4.977331161E0;6.866275311E0
8.388419820E1;1.197049379E0;3.562418938E0;6.634047508E0
8.388655877E1;-7.852643728E-1;5.147312164E0;9.255585670E0
8.388891909E1;-5.434604287E-1;4.522452831E0;9.925933838E0
8.389127930E1;2.216935396E0;3.136269331E0;1.047178841E1
8.389364008E1;6.990768313E-1;4.335712910E0;1.244452572E1
8.389600060E1;9.073634148E-1;4.323742390E0;1.304544449E1
8.389836075E1;1.690233707E0;2.480286360E0;1.100567245E1
8.390072159E1;-6.631653905E-1;4.632581234E0;1.219314480E1
8.390308221E1;-5.290958285E-1;3.605512857E0;1.061303997E1
8.390544273E1;7.062591314E-1;3.009382248E0;8.463139534E0
8.390780346E1;-1.268872380E0;5.334052086E0;8.707337379E0
8.391016430E1;-4.213613868E-1;4.256707668E0;6.837546349E0
8.391252534E1;9.313044548E-1;4.464994431E0;5.999611378E0
8.391488648E1;-3.327797353E-1;5.650073051E0;6.425761223E0
8.391724716E1;9.289103150E-1;4.651733875E0;5.604585171E0
8.391960747E1;1.410124183E0;4.857626438E0;6.092981339E0
8.392196752E1;-3.926321864E-1;5.781748772E0;8.036989212E0
8.392432773E1;1.019886136E0;3.940686703E0;7.744909763E0
8.392668867E1;3.950262964E-1;5.199982643E0;9.631459236E0
8.392904950E1;-7.661116123E-1;5.013242722E0;1.035447693E1
8.393140982E1;1.051009417E0;3.536083937E0;9.198127747E0
8.393376982E1;-5.745837092E-2;3.593542337E0;9.205309868E0
8.393613018E1;-9.576395154E-1;6.476037025E0;1.164489651E1
8.393849028E1;1.209019899E0;2.130748034E0;7.256513596E0
8.394085039E1;6.320420504E-1;4.800168037E0;8.637907982E0
8.394321023E1;-7.278060317E-1;5.884695053E0;9.459084511E0
8.394556997E1;1.766844869E0;2.825036526E0;7.249330997E0
8.394793013E1;6.176775098E-1;4.304589748E0;8.824647903E0
8.395029034E1;-8.427227736E-1;5.118583202E0;9.880445480E0
8.395265023E1;1.168320179E0;4.050815105E0;9.696100235E0
8.395501002E1;5.458545089E-1;3.313432693E0;9.274738312E0
8.395737065E1;-3.040505350E-1;4.788197517E0;1.052685261E1
8.395973138E1;-1.101285443E-1;3.797040701E0;9.868474960E0
8.396209164E1;-2.034983933E-1;3.730005980E0;9.423172951E0
8.396445304E1;4.069967940E-2;4.637369156E0;9.473448753E0
8.396681372E1;5.674014091E-1;4.508088112E0;8.575661659E0
8.396917409E1;6.368302703E-1;4.931843281E0;8.020231247E0
8.397153502E1;5.410663486E-1;4.259101868E0;6.442519665E0
8.397389544E1;-9.815804660E-2;5.587826729E0;6.868669510E0
8.397625586E1;-4.524846673E-1;5.085065842E0;6.241415501E0
8.397861685E1;1.192261219E0;3.670153379E0;4.560758114E0
8.398097779E1;-4.213613868E-1;7.194266796E0;8.039383888E0
8.398333820E1;-2.561685741E-1;3.744370461E0;6.315632820E0
8.398569883E1;1.680657387E0;4.429082870E0;7.730545044E0
8.398805940E1;-1.261690021E0;5.116189003E0;9.231644630E0
8.399042028E1;7.804762125E-1;4.409929752E0;1.017731380E1
8.399278086E1;2.228905916E0;2.657449722E0;1.010549068E1
8.399514185E1;-3.639030159E-1;5.697955132E0;1.349792862E1
8.399750252E1;1.240143180E0;3.028534889E0;1.163531971E1
8.399986310E1;1.515464544E0;2.561685801E0;1.045981789E1
8.400222325E1;-2.013437033E0;5.523185730E0;1.276533508E1
8.400458404E1;-3.375679255E-1;2.832218885E0;9.641036034E0
8.400694440E1;8.977870345E-1;2.906435966E0;7.981925488E0
8.400930476E1;-2.104412794E0;6.308450222E0;9.502178192E0
8.401166575E1;6.799240708E-1;3.679729939E0;6.444913864E0
