"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
2.550338700E-1;-2.248058796E0;3.131481171E0;8.194999695E0;9.056376906E0
2.573899110E-1;-3.428349495E0;4.189672947E0;7.407341480E0;9.174728741E0
2.597459530E-1;-3.057264090E0;5.295746326E0;7.191872597E0;9.440064847E0
2.621024640E-1;-2.034983933E-1;3.734794140E0;5.068306923E0;6.299034365E0
2.644590260E-1;2.202570885E-1;6.224657059E0;6.411396503E0;8.938728870E0
2.668148070E-1;1.896126270E0;5.233500004E0;5.937365055E0;8.138619104E0
2.691704320E-1;3.057264090E0;4.912690639E0;6.296479702E0;8.551435533E0
2.715263700E-1;1.039038897E0;5.889482975E0;9.040117264E0;1.083924959E1
2.738829320E-1;9.456689954E-1;4.271072388E0;9.435143471E0;1.039991738E1
2.762391820E-1;-1.012703776E0;4.697221756E0;1.092666721E1;1.193656222E1
2.785953280E-1;-2.274393797E0;4.783409595E0;1.174784279E1;1.288664753E1
2.809512140E-1;-9.241221547E-1;3.435531855E0;1.003845596E1;1.065023375E1
2.833070470E-1;-1.900914431E0;4.876779079E0;1.037123585E1;1.161718481E1
2.856629840E-1;-2.346216738E-1;4.745103836E0;9.143063545E0;1.030372111E1
2.880187660E-1;7.541410923E-1;3.921533823E0;6.590953827E0;7.706349892E0
2.903749110E-1;9.097575396E-2;5.772171974E0;7.321154118E0;9.323386911E0
2.927310050E-1;1.371818662E0;5.779354572E0;7.519864082E0;9.582858735E0
2.950867340E-1;1.886549830E0;3.682123899E0;5.824842453E0;7.144641088E0
2.974421510E-1;-3.040505350E-1;6.229444981E0;8.769583702E0;1.076122808E1
2.997977760E-1;-1.460400224E-1;3.926321983E0;8.135148048E0;9.034266200E0
3.021537660E-1;-9.073634148E-1;4.335712910E0;9.621883392E0;1.059256130E1
3.045092860E-1;-2.331852198E0;4.795379639E0;1.096497250E1;1.219277747E1
3.068651720E-1;-6.224656850E-2;3.153028011E0;9.722434998E0;1.022111552E1
3.092213700E-1;-5.961306095E-1;5.056336403E0;1.116128826E1;1.226769193E1
3.115770470E-1;1.012703776E0;3.828163862E0;9.516542435E0;1.030752091E1
3.139329320E-1;1.582499266E0;5.149706364E0;9.554848671E0;1.096899780E1
3.162887660E-1;6.679535508E-1;5.032395840E0;8.436803818E0;9.846361180E0
3.186451720E-1;1.321542501E0;4.575122833E0;6.964433193E0;8.436916097E0
3.210014220E-1;-7.086532116E-1;5.863147736E0;7.055408955E0;9.200950291E0
3.233577760E-1;-9.097575545E-1;4.560758114E0;5.724290371E0;7.375342272E0
3.257140260E-1;-1.053403497E0;4.026874065E0;4.864808559E0;6.402478894E0
3.280692340E-1;-3.021352768E0;6.756146908E0;7.570140362E0;1.058683705E1
3.304245990E-1;-1.458006144E0;3.859287262E0;6.353938103E0;7.575777815E0
3.327803800E-1;-8.379346132E-2;4.860020638E0;7.313971996E0;8.781856769E0
3.351364740E-1;-8.115994930E-1;5.599797249E0;8.769583702E0;1.043657134E1
3.374924640E-1;2.853765726E0;4.522452831E0;9.064058304E0;1.052395892E1
3.398485050E-1;2.276787996E0;4.656522274E0;1.041432953E1;1.163293698E1
3.422047550E-1;1.529829144E0;5.836812973E0;1.250916576E1;1.388841211E1
