"Time (s)";"Acceleration x (m/s²)";"Acceleration y (m/s²)";"Acceleration z (m/s²)"
7.764264946E1;2.920800447E-1;5.015636921E0;5.164071083E0
7.764501056E1;5.721896291E-1;5.336446285E0;4.630187035E0
7.764737087E1;7.110473514E-1;6.066646099E0;5.118583202E0
7.764973191E1;8.331463933E-1;5.508821487E0;4.189672947E0
7.765209306E1;7.732939124E-1;5.726684093E0;4.958178520E0
7.765445358E1;4.524846673E-1;5.674014091E0;6.243809700E0
7.765681441E1;1.244931370E-1;4.950996399E0;6.727417469E0
7.765917535E1;-1.580105126E-1;4.455417633E0;7.656327724E0
7.766153598E1;-2.657449543E-1;4.309377670E0;9.274738312E0
7.766389592E1;-2.154688910E-2;3.461866856E0;1.026110744E1
7.766625670E1;3.662971258E-1;3.840134382E0;1.257859516E1
7.766861764E1;7.948408127E-1;3.136269331E0;1.289700985E1
7.767097827E1;1.173108459E0;2.468315840E0;1.263126564E1
7.767333905E1;1.216202140E0;2.506621361E0;1.255465412E1
7.767570030E1;1.173108459E0;2.920800447E0;1.277012253E1
7.767806087E1;1.003127337E0;3.050081968E0;1.185797119E1
7.768042098E1;6.104952097E-1;3.294280052E0;1.094821358E1
7.768278186E1;2.561685741E-1;3.782675982E0;9.983391762E0
7.768514275E1;-2.394098788E-2;4.108273506E0;8.460744858E0
7.768750363E1;-1.867397130E-1;4.656522274E0;7.409735680E0
7.768986426E1;-1.149167418E-1;4.869596958E0;6.346755981E0
7.769222577E1;-9.576395154E-3;5.448968887E0;6.267750740E0
7.769458660E1;7.900525630E-2;5.709925652E0;6.365908623E0
7.769694702E1;1.436459273E-1;5.401086807E0;5.867936134E0
7.769930780E1;1.795574129E-1;5.860754013E0;6.456884384E0
7.770166915E1;2.992623448E-1;5.518397808E0;6.195927620E0
7.770402972E1;4.668492675E-1;5.051548481E0;6.078616619E0
7.770639129E1;4.620610774E-1;4.781015396E0;6.492795944E0
7.770875337E1;4.788197577E-1;5.034789562E0;7.857432365E0
7.771111462E1;4.812138677E-1;4.378806591E0;7.792791367E0
7.771347566E1;3.423561156E-1;4.093908787E0;8.534962654E0
7.771583618E1;3.639030159E-1;4.096302986E0;1.015576744E1
