"Time (s)";"Peak-Frequency"
3.887861243E1;4.965193127E0
3.901852551E1;1.655055207E0
3.915809999E1;1.655044719E0
3.929874342E1;1.655034462E0
3.943744301E1;1.986031990E1
3.957741191E1;1.986022401E1
3.971799811E1;1.986012105E1
3.985880238E1;3.309995115E0
3.999754863E1;1.654987899E0
4.013803551E1;3.309954983E0
4.027834874E1;1.654966835E0
4.041704530E1;1.654957426E0
4.055834321E1;3.309890418E0
4.070507374E1;1.654935614E0
4.081807441E1;1.654931565E0
4.093552290E1;1.654926794E0
4.107629634E1;1.654921346E0
4.121709764E1;1.654914167E0
4.136294858E1;1.654906650E0
4.149916571E1;1.654902432E0
4.163800999E1;3.309798658E0
4.177957488E1;3.309775384E0
4.191892509E1;1.654883403E0
4.205813316E1;1.654882235E0
4.219687764E1;3.309771924E0
4.233886957E1;1.654886684E0
4.247874639E1;1.654885900E0
4.263716519E1;3.309769909E0
4.277177144E1;1.654886595E0
4.290669795E1;1.654881138E0
4.304260462E1;1.654884642E0
4.318003066E1;3.309776312E0
4.331903868E1;1.654890091E0
4.345781832E1;1.654896796E0
4.359741035E1;1.654903645E0
4.373906660E1;1.654909869E0
4.387842144E1;1.654915853E0
4.401849707E1;1.654920267E0
4.415729832E1;1.654926036E0
4.429812576E1;1.654928524E0
4.444043175E1;1.654929693E0
4.457375576E1;1.654929354E0
4.470398425E1;1.654932956E0
4.483916577E1;1.654937647E0
4.497659217E1;3.144380767E1
4.511503691E1;2.813397608E1
4.525578644E1;1.654941820E0
4.539699217E1;1.654943176E0
4.553627389E1;1.654948098E0
4.567603035E1;1.654952976E0
4.581680066E1;1.654957649E0
4.595654983E1;1.654960851E0
4.609803071E1;1.654963375E0
4.623757128E1;1.654965577E0
4.637699113E1;1.654967147E0
4.651773373E1;1.654970393E0
4.665905634E1;1.654976627E0
4.680924811E1;4.964943658E0
4.692210040E1;3.309969912E0
4.704801175E1;1.654988488E0
4.718198790E1;1.654992100E0
4.732006634E1;1.654995364E0
4.745946707E1;1.654999083E0
4.759894488E1;1.655003453E0
4.773407524E1;1.655003185E0
4.787364842E1;1.655008554E0
4.801240873E1;1.655014155E0
4.815123384E1;1.655020228E0
4.828466977E1;6.620103316E0
4.842086915E1;1.655030877E0
4.855891399E1;1.655037173E0
4.869820712E1;1.655041713E0
4.883714123E1;1.655046288E0
4.895122837E1;1.655050962E0
4.908499113E1;1.655055751E0
4.922048144E1;1.655059176E0
4.935829024E1;1.655066543E0
4.949813930E1;3.310147250E0
4.963754826E1;1.655079431E0
4.977696956E1;1.655087726E0
4.991717592E1;1.655094112E0
5.005682602E1;1.655096913E0
5.019813873E1;1.655102532E0
5.033719592E1;1.655105431E0
5.047760472E1;1.655109587E0
5.061935748E1;1.655115858E0
5.077683540E1;1.655122190E0
5.089027368E1;1.655125616E0
5.101399175E1;1.655130165E0
5.115135785E1;1.655133046E0
5.128351191E1;1.655137256E0
5.142049972E1;1.655139691E0
